user_id,date,daily_expense,daily_income,txn_count,daily_net,dow,is_weekend,day,month,expense_7d_sum,expense_7d_mean,expense_30d_sum,expense_30d_mean,target
1,2023-10-15,150.0,0.0,1,-28795.0,6,1,15,10,2579.0,368.42857142857144,14493.0,483.1,1545.0
1,2023-10-16,220.0,0.0,2,-57170.0,0,0,16,10,1864.0,266.2857142857143,12623.0,420.76666666666665,1217.0
1,2023-10-17,147.0,0.0,2,-56780.0,1,0,17,10,1545.0,220.71428571428572,12617.0,420.56666666666666,1247.0
1,2023-10-18,165.0,0.0,2,-56446.0,2,0,18,10,1217.0,173.85714285714286,12256.0,408.53333333333336,1280.0
1,2023-10-19,238.0,0.0,2,-56026.0,3,0,19,10,1247.0,178.14285714285714,12221.0,407.3666666666667,1208.0
1,2023-10-20,263.0,0.0,4,-111034.0,4,0,20,10,1280.0,182.85714285714286,9459.0,315.3,2083.0
1,2023-10-21,900.0,0.0,3,-82436.0,5,1,21,10,1208.0,172.57142857142858,9377.0,312.56666666666666,2383.0
1,2023-10-22,450.0,0.0,1,-26712.0,6,1,22,10,2083.0,297.57142857142856,10208.0,340.26666666666665,2393.0
1,2023-10-23,230.0,0.0,3,-78586.0,0,0,23,10,2383.0,340.42857142857144,10476.0,349.2,2441.0
1,2023-10-24,195.0,0.0,3,-77791.0,1,0,24,10,2393.0,341.85714285714283,10368.0,345.6,2566.0
1,2023-10-25,290.0,0.0,4,-102833.0,2,0,25,10,2441.0,348.7142857142857,9608.0,320.26666666666665,2619.0
1,2023-10-26,291.0,0.0,4,-101795.0,3,0,26,10,2566.0,366.57142857142856,9546.0,318.2,2740.0
1,2023-10-27,384.0,0.0,5,-125552.0,4,0,27,10,2619.0,374.14285714285717,9815.0,327.1666666666667,2738.0
1,2023-10-28,898.0,0.0,3,-73610.0,5,1,28,10,2740.0,391.42857142857144,9936.0,331.2,4086.0
1,2023-10-31,1798.0,0.0,10,-231537.0,1,0,31,10,2738.0,391.14285714285717,10507.0,350.23333333333335,4184.0
1,2023-11-01,328.0,0.0,3,-66126.0,2,0,1,11,4086.0,583.7142857142857,12175.0,405.8333333333333,4234.0
1,2023-11-02,245.0,0.0,4,-86912.0,3,0,2,11,4184.0,597.7142857142857,11773.0,392.43333333333334,4181.0
1,2023-11-03,237.0,0.0,3,-64499.0,4,0,3,11,4234.0,604.8571428571429,11968.0,398.93333333333334,3969.0
1,2023-11-04,79.0,0.0,1,-21366.0,5,1,4,11,4181.0,597.2857142857143,11990.0,399.6666666666667,3985.0
1,2023-11-06,400.0,0.0,4,-84323.0,0,0,6,11,3969.0,567.0,11621.0,387.3666666666667,3331.0
1,2023-11-07,244.0,0.0,4,-83099.0,1,0,7,11,3985.0,569.2857142857143,11717.0,390.56666666666666,1703.0
1,2023-11-08,170.0,0.0,2,-41226.0,2,0,8,11,3331.0,475.85714285714283,11266.0,375.53333333333336,1617.0
1,2023-11-09,242.0,0.0,4,-81640.0,3,0,9,11,1703.0,243.28571428571428,11156.0,371.8666666666667,1608.0
1,2023-11-10,236.0,0.0,1,-20231.0,4,0,10,11,1617.0,231.0,11143.0,371.43333333333334,2360.0
1,2023-11-11,989.0,0.0,5,-97125.0,5,1,11,11,1608.0,229.71428571428572,10514.0,350.46666666666664,2461.0
1,2023-11-13,180.0,0.0,2,-37912.0,0,0,13,11,2360.0,337.14285714285717,10964.0,365.46666666666664,2263.0
1,2023-11-14,202.0,0.0,3,-56288.0,1,0,14,11,2461.0,351.57142857142856,10669.0,355.6333333333333,3019.0
1,2023-11-15,1000.0,0.0,5,-92195.0,2,0,15,11,2263.0,323.2857142857143,10736.0,357.8666666666667,3209.0
1,2023-11-16,360.0,0.0,3,-52452.0,3,0,16,11,3019.0,431.2857142857143,11531.0,384.3666666666667,3114.0
1,2023-11-17,147.0,0.0,2,-34481.0,4,0,17,11,3209.0,458.42857142857144,11556.0,385.2,3117.0
1,2023-11-19,239.0,0.0,2,-34134.0,6,1,19,11,3114.0,444.85714285714283,11678.0,389.26666666666665,3890.0
1,2023-11-21,1762.0,0.0,4,-67213.0,1,0,21,11,3117.0,445.2857142857143,11767.0,392.23333333333335,4160.0
1,2023-11-22,450.0,0.0,5,-74640.0,2,0,22,11,3890.0,555.7142857142857,13309.0,443.6333333333333,4604.0
1,2023-11-23,646.0,0.0,3,-43693.0,3,0,23,11,4160.0,594.2857142857143,13612.0,453.73333333333335,3669.0
1,2023-11-24,65.0,0.0,1,-14020.0,4,0,24,11,4604.0,657.7142857142857,14093.0,469.76666666666665,3669.0
1,2023-11-26,360.0,0.0,2,-27650.0,6,1,26,11,3669.0,524.1428571428571,13920.0,464.0,4472.0
1,2023-11-27,950.0,0.0,4,-53535.0,0,0,27,11,3669.0,524.1428571428571,14017.0,467.23333333333335,4709.0
1,2023-11-28,476.0,0.0,4,-50072.0,1,0,28,11,4472.0,638.8571428571429,14067.0,468.9,3346.0
1,2023-11-29,399.0,0.0,3,-36244.0,2,0,29,11,4709.0,672.7142857142857,14093.0,469.76666666666665,3059.0
1,2023-11-30,163.0,0.0,1,-11770.0,3,0,30,11,3346.0,478.0,14262.0,475.4,2653.0
1,2023-12-01,240.0,0.0,3,-34511.0,4,0,1,12,3059.0,437.0,14230.0,474.3333333333333,2688.0
1,2023-12-03,100.0,0.0,1,-11367.0,6,1,3,12,2653.0,379.0,14180.0,472.6666666666667,2413.0
1,2023-12-04,85.0,0.0,2,-22509.0,0,0,4,12,2688.0,384.0,13989.0,466.3,1708.0
1,2023-12-05,245.0,0.0,4,-44508.0,1,0,5,12,2413.0,344.7142857142857,13690.0,456.3333333333333,1477.0
1,2023-12-06,245.0,0.0,3,-32511.0,2,0,6,12,1708.0,244.0,13037.0,434.56666666666666,1369.0
1,2023-12-07,291.0,0.0,3,-31675.0,3,0,7,12,1477.0,211.0,11484.0,382.8,1410.0
1,2023-12-08,204.0,0.0,3,-30953.0,4,0,8,12,1369.0,195.57142857142858,11447.0,381.56666666666666,1520.0
1,2023-12-09,350.0,0.0,4,-40088.0,5,1,9,12,1410.0,201.42857142857142,11406.0,380.2,1512.0
1,2023-12-10,92.0,0.0,2,-19671.0,6,1,10,12,1520.0,217.14285714285714,11519.0,383.96666666666664,1682.0
1,2023-12-11,255.0,0.0,4,-38740.0,0,0,11,12,1512.0,216.0,11532.0,384.4,1870.0
1,2023-12-12,433.0,0.0,4,-37314.0,1,0,12,12,1682.0,240.28571428571428,11387.0,379.56666666666666,1995.0
1,2023-12-13,370.0,0.0,2,-17854.0,2,0,13,12,1870.0,267.14285714285717,11576.0,385.8666666666667,1959.0
1,2023-12-14,255.0,0.0,2,-17239.0,3,0,14,12,1995.0,285.0,11776.0,392.53333333333336,1859.0
1,2023-12-15,104.0,0.0,1,-8442.0,4,0,15,12,1959.0,279.85714285714283,11789.0,392.96666666666664,2824.0
1,2023-12-16,1315.0,0.0,3,-24254.0,5,1,16,12,1859.0,265.57142857142856,11657.0,388.56666666666666,3597.0
1,2023-12-17,865.0,0.0,4,-26792.0,6,1,17,12,2824.0,403.42857142857144,11983.0,399.43333333333334,3646.0
1,2023-12-18,304.0,0.0,4,-24115.0,0,0,18,12,3597.0,513.8571428571429,12668.0,422.26666666666665,3409.0
1,2023-12-19,196.0,0.0,3,-17420.0,1,0,19,12,3646.0,520.8571428571429,12770.0,425.6666666666667,3399.0
1,2023-12-20,360.0,0.0,2,-11056.0,2,0,20,12,3409.0,487.0,11966.0,398.8666666666667,3760.0
1,2023-12-21,616.0,0.0,2,-10441.0,3,0,21,12,3399.0,485.57142857142856,11966.0,398.8666666666667,4316.0
1,2023-12-22,660.0,0.0,4,-17858.0,4,0,22,12,3760.0,537.1428571428571,12435.0,414.5,3589.0
1,2023-12-23,588.0,0.0,1,-4022.0,5,1,23,12,4316.0,616.5714285714286,12856.0,428.53333333333336,2925.0
1,2023-12-24,201.0,0.0,2,-6767.0,6,1,24,12,3589.0,512.7142857142857,11682.0,389.4,2706.0
1,2023-12-25,85.0,0.0,1,-3233.0,0,0,25,12,2925.0,417.85714285714283,11433.0,381.1,2650.0
1,2023-12-26,140.0,0.0,2,-6186.0,1,0,26,12,2706.0,386.57142857142856,10872.0,362.4,2453.0
1,2023-12-27,163.0,0.0,2,-5953.0,2,0,27,12,2650.0,378.57142857142856,10947.0,364.9,2098.0
1,2023-12-28,261.0,0.0,2,-5582.0,3,0,28,12,2453.0,350.42857142857144,10750.0,358.3333333333333,1603.0
1,2023-12-29,165.0,0.0,2,-5050.0,4,0,29,12,2098.0,299.7142857142857,10061.0,335.3666666666667,2024.0
