seed,MAE,RMSE,Binary_F1,Weighted_F1
0,807.717258,1160.270783,0.882199,0.784645
7,807.298367,1164.448797,0.88042,0.776189
11,815.86402,1166.91418,0.887728,0.775127
13,806.756308,1157.216313,0.887435,0.786983
21,796.330939,1155.478911,0.886275,0.778407
22,804.261246,1156.811151,0.88366,0.777533
33,798.878167,1149.935324,0.883355,0.780587
42,801.394562,1155.60966,0.887728,0.787856
44,808.575196,1158.195122,0.882199,0.782634
55,808.124331,1162.630035,0.884817,0.778356
66,806.939912,1161.092825,0.88189,0.777293
77,814.345227,1162.658996,0.88189,0.782718
88,800.299866,1153.168444,0.88274,0.780105
99,812.451529,1161.589828,0.881579,0.782301
100,796.152712,1148.878507,0.875164,0.774811
111,804.419482,1154.860128,0.879265,0.779118
123,805.413096,1157.869253,0.881579,0.778419
222,826.259587,1175.594957,0.888889,0.781444
314,799.879234,1155.082596,0.889467,0.785296
333,793.043043,1155.05511,0.885976,0.788876
444,796.585379,1146.361759,0.889179,0.785726
456,796.592373,1154.102018,0.885117,0.781326
555,803.284169,1157.294664,0.884211,0.787474
666,799.69031,1152.443876,0.88366,0.785699
777,807.74201,1154.812539,0.884514,0.785146
789,798.551233,1152.439893,0.886571,0.787013
999,807.56989,1156.722713,0.886571,0.785745
1234,800.600295,1152.486019,0.886571,0.780658
2024,796.737732,1160.834493,0.887728,0.787659
9999,807.688802,1156.558162,0.884514,0.780884
