seed,MAE,RMSE,Binary_F1,Weighted_F1
0,851.252361,1205.209524,0.888312,0.774559
7,827.259571,1175.757204,0.88042,0.784713
11,834.10076,1180.608659,0.882431,0.780167
13,828.173685,1181.401928,0.87664,0.775934
21,835.151711,1186.939345,0.881266,0.776462
22,851.842198,1190.389145,0.879581,0.77277
33,844.054377,1195.048471,0.879581,0.774386
42,833.587694,1184.00659,0.880734,0.784455
44,852.73436,1207.047143,0.877792,0.770987
55,816.123084,1171.037166,0.885375,0.789414
66,831.496303,1181.990592,0.879581,0.77599
77,830.856825,1183.553387,0.879265,0.777457
88,820.609517,1175.829609,0.88189,0.781972
99,847.500929,1193.810878,0.878947,0.771706
100,844.409869,1188.47503,0.879789,0.777502
111,845.384378,1189.542347,0.880952,0.782757
123,825.657241,1177.192047,0.879581,0.773554
222,849.126017,1195.666812,0.880734,0.7776
314,830.582223,1176.684419,0.878628,0.782632
333,833.989606,1180.333114,0.879581,0.775711
444,844.809285,1197.312048,0.880105,0.775572
456,852.351796,1198.250921,0.879265,0.773713
555,841.561248,1190.753808,0.878113,0.775144
666,845.576493,1193.21708,0.877792,0.774794
777,835.773163,1185.249698,0.877792,0.780685
789,831.622289,1183.812369,0.87747,0.779523
999,830.994904,1177.986201,0.88189,0.779625
1234,834.490189,1182.496264,0.879265,0.777489
2024,830.726893,1172.17888,0.880734,0.780307
9999,830.153506,1182.816095,0.879581,0.773811
