seed,MAE,RMSE,Binary_F1,Weighted_F1
0,1041.091253,1485.391972,0.846246,0.733574
7,1084.040533,1579.337225,0.842975,0.719779
11,1081.735316,1570.581855,0.829684,0.719255
13,1077.451973,1572.422789,0.838863,0.713432
21,1084.091409,1594.601174,0.840476,0.7197
22,1109.577403,1629.353172,0.841608,0.711744
33,1066.057341,1515.042664,0.841076,0.725179
42,1133.422999,1620.49991,0.852619,0.729626
44,1066.886887,1538.413054,0.838791,0.728366
55,1040.135567,1487.609641,0.852732,0.734369
66,1082.905686,1505.109184,0.85122,0.724463
77,1061.876355,1564.22403,0.850123,0.726319
88,1063.288106,1531.494196,0.844869,0.728931
99,1085.013937,1523.032741,0.849704,0.733862
100,1107.804394,1606.285921,0.850816,0.718572
111,1092.876273,1569.21672,0.841051,0.723928
123,1100.796332,1619.220277,0.841099,0.714966
222,1062.847907,1487.26782,0.844282,0.723266
314,1092.835473,1568.445191,0.841608,0.716888
333,1063.574619,1540.134896,0.849765,0.726856
444,1085.333607,1565.054563,0.840855,0.721737
456,1075.940193,1552.481977,0.84434,0.717331
555,1049.784471,1493.726315,0.840438,0.731043
666,1113.6112,1655.701504,0.83787,0.709761
777,1133.608832,1653.64232,0.837153,0.714059
789,1087.497141,1588.784587,0.843602,0.716746
999,1116.241199,1633.375091,0.856442,0.729878
1234,1097.556081,1558.327283,0.851462,0.72604
2024,1049.05709,1544.77985,0.838788,0.725624
9999,1030.795123,1535.481911,0.841978,0.72666
