seed,MAE,RMSE,Binary_F1,Weighted_F1
0,1026.876431,1476.957758,0.846246,0.733574
7,1074.644416,1574.676697,0.842975,0.719779
11,1067.356732,1566.599905,0.829684,0.718386
13,1063.317755,1568.530169,0.838863,0.713432
21,1071.580547,1588.571262,0.840476,0.7197
22,1097.879436,1623.746858,0.841608,0.711744
33,1053.046382,1508.686278,0.841076,0.725179
42,1116.76123,1612.529791,0.852619,0.729626
44,1054.102328,1533.437399,0.838791,0.728366
55,1025.808375,1477.566448,0.852732,0.734369
66,1071.733527,1498.32346,0.85122,0.724463
77,1049.691101,1556.741084,0.850123,0.726319
88,1052.395301,1523.89325,0.844869,0.728931
99,1074.310772,1515.053174,0.849704,0.733862
100,1093.905392,1599.11496,0.850816,0.718572
111,1078.608903,1567.911472,0.842105,0.724731
123,1087.503772,1614.635782,0.841099,0.714966
222,1049.357091,1477.958187,0.844282,0.723266
314,1081.132213,1561.309954,0.841608,0.716888
333,1049.515861,1531.563185,0.849765,0.726856
444,1075.413643,1562.256913,0.840855,0.721737
456,1064.046688,1546.075727,0.84434,0.717331
555,1033.172442,1484.27912,0.840438,0.731043
666,1101.030545,1649.960092,0.83787,0.709761
777,1124.317776,1650.875737,0.837153,0.714059
789,1078.157253,1583.324448,0.843602,0.716746
999,1103.388434,1629.482358,0.856442,0.729878
1234,1081.946194,1546.747765,0.851462,0.72604
2024,1039.236326,1540.05998,0.838788,0.725624
9999,1021.01243,1530.537599,0.841978,0.72666
