seed,MAE,RMSE,Binary_F1,Weighted_F1
0,811.422658,1230.542146,0.872536,0.768893
7,869.208119,1315.852328,0.831429,0.745759
11,930.316691,1404.245527,0.785714,0.729896
13,849.750772,1224.532705,0.882507,0.770221
21,800.899093,1226.935727,0.853186,0.753197
22,858.647004,1241.732836,0.872536,0.766711
33,905.675795,1326.057821,0.805926,0.733224
42,877.80834,1353.672933,0.83068,0.758033
44,860.147729,1243.168777,0.889764,0.762169
55,943.366714,1366.127197,0.828929,0.755635
66,854.897955,1230.982613,0.821997,0.744829
77,896.382484,1276.621509,0.882907,0.763408
88,932.38929,1392.22787,0.839161,0.740885
99,795.202044,1202.021856,0.866575,0.76776
100,908.933991,1315.899598,0.801205,0.706728
111,873.225938,1280.600137,0.81883,0.728663
123,858.059445,1266.117311,0.844504,0.756799
222,856.416712,1285.079019,0.845188,0.74609
314,866.535317,1313.713377,0.827004,0.724794
333,876.172191,1329.529761,0.816692,0.747494
444,1001.058059,1465.48612,0.880537,0.768234
456,867.216602,1319.663738,0.828652,0.749504
555,870.344284,1255.15642,0.847645,0.760342
666,936.168345,1373.665377,0.804665,0.720126
777,846.842963,1305.563742,0.85,0.755765
789,969.605486,1417.570267,0.841069,0.745748
999,850.003973,1259.00793,0.875676,0.765018
1234,824.714062,1247.843656,0.848401,0.749406
2024,836.678785,1269.469986,0.856338,0.765642
9999,842.692551,1242.444469,0.834043,0.730558
