seed,MAE,RMSE,Binary_F1,Weighted_F1
0,1154.933177,1698.081059,0.825065,0.7335
7,1172.023295,1726.966667,0.835937,0.729672
11,1197.945657,1742.41386,0.807292,0.714202
13,1187.805952,1733.405633,0.835937,0.746011
21,1162.863802,1692.968927,0.831836,0.743388
22,1197.557647,1737.310453,0.844388,0.739419
33,1161.264599,1772.219517,0.839949,0.741365
42,1142.288942,1732.985045,0.835476,0.748527
44,1138.449964,1691.998169,0.83531,0.741876
55,1254.393228,1809.237617,0.828205,0.716776
66,1197.40026,1739.869483,0.822309,0.730824
77,1156.839745,1718.110913,0.848249,0.746253
88,1197.402716,1722.567486,0.848793,0.743775
99,1095.003832,1667.341076,0.848408,0.757974
100,1160.791075,1752.646473,0.830287,0.728274
111,1182.610018,1721.131918,0.845466,0.735536
123,1177.015111,1777.48469,0.831579,0.738011
222,1169.511116,1730.719472,0.833773,0.745945
314,1143.931912,1708.865515,0.837945,0.750108
333,1181.479988,1712.047365,0.827858,0.729141
444,1218.820159,1802.926379,0.827145,0.724641
456,1242.084065,1873.553805,0.822023,0.707358
555,1174.842154,1694.540018,0.839474,0.746621
666,1183.772877,1728.393105,0.814229,0.727071
777,1165.94313,1751.834941,0.829016,0.733544
789,1158.437676,1721.779937,0.829396,0.749555
999,1145.459397,1681.073051,0.830729,0.72551
1234,1226.112074,1760.09459,0.829897,0.736426
2024,1153.580313,1668.28763,0.858612,0.763762
9999,1182.678608,1730.219869,0.820446,0.729581
