seed,MAE,RMSE,Binary_F1,Weighted_F1
0,1118.153135,1688.164738,0.852941,0.738841
7,1105.882767,1689.727194,0.8582,0.745919
11,1114.072354,1717.090362,0.855,0.748115
13,1201.568964,1700.895135,0.856106,0.730325
21,1138.319648,1721.992441,0.852259,0.737999
22,1162.958333,1745.763268,0.855362,0.753996
33,1172.761441,1687.362297,0.852657,0.738015
42,1131.605672,1635.904328,0.85122,0.732554
44,1134.228163,1670.303389,0.854637,0.744437
55,1131.113599,1697.240557,0.860321,0.748569
66,1113.447684,1693.811156,0.861042,0.750461
77,1178.004876,1742.017565,0.854701,0.734458
88,1105.616615,1669.232017,0.853268,0.742198
99,1090.870702,1680.79083,0.855,0.748591
100,1128.651515,1724.407185,0.853988,0.744968
111,1098.794968,1690.194732,0.862794,0.751604
123,1106.737418,1703.07337,0.857143,0.738846
222,1261.644952,1821.725675,0.845209,0.739094
314,1103.953343,1700.013068,0.862408,0.749658
333,1166.18015,1706.791759,0.853988,0.73951
444,1139.92223,1721.687211,0.859606,0.742746
456,1253.62386,1826.267929,0.851117,0.738049
555,1097.664126,1688.654888,0.863861,0.745973
666,1136.163032,1700.74404,0.863804,0.743917
777,1119.677058,1708.601234,0.859951,0.740141
789,1163.263497,1748.762088,0.851169,0.743425
999,1170.169418,1714.697827,0.858537,0.745363
1234,1164.304536,1734.820878,0.859296,0.757775
2024,1109.569463,1680.876301,0.850314,0.750042
9999,1154.974776,1688.629611,0.850062,0.741187
