seed,MAE,RMSE,Binary_F1,Weighted_F1
0,1114.373859,1658.845304,0.861985,0.739252
7,1139.162226,1632.900486,0.849879,0.73289
11,1110.026868,1635.498153,0.855407,0.739778
13,1110.942564,1643.043242,0.853333,0.734892
21,1094.471222,1635.305981,0.858191,0.73792
22,1206.127548,1833.929099,0.841727,0.744398
33,1092.560173,1637.78433,0.858881,0.743544
42,1198.863992,1822.149912,0.844391,0.748125
44,1074.28608,1645.948247,0.863804,0.760756
55,1116.769628,1610.050636,0.856796,0.746944
66,1094.186389,1621.839223,0.860294,0.754372
77,1094.324116,1596.186241,0.859585,0.746688
88,1089.686149,1612.002142,0.852905,0.743365
99,1094.821608,1612.850508,0.859223,0.748642
100,1071.098983,1634.822976,0.857494,0.743708
111,1178.223084,1807.390107,0.841849,0.752821
123,1110.433019,1626.897434,0.855407,0.741091
222,1089.516159,1610.407112,0.855407,0.735667
314,1094.188359,1662.501223,0.854015,0.74164
333,1070.145591,1582.180709,0.858549,0.765017
444,1120.232215,1625.727066,0.854369,0.728887
456,1150.499026,1647.459242,0.852341,0.735741
555,1177.002078,1653.7046,0.854067,0.734448
666,1166.367705,1733.065399,0.839416,0.735495
777,1058.807871,1612.444164,0.859606,0.747505
789,1084.048834,1639.397038,0.853629,0.732168
999,1118.913178,1615.673393,0.855758,0.750706
1234,1101.454277,1640.919812,0.857494,0.748932
2024,1113.173294,1621.794665,0.857837,0.745401
9999,1075.541932,1595.155207,0.857843,0.747475
