user_id,date,daily_income,daily_expense,txn_count,income_txn_count,expense_txn_count,daily_net,has_income,has_expense,dow,is_weekend,day,month
user1,2025-07-01,710.0,120.0,3,1,2,590.0,1,1,1,0,1,7
user1,2025-07-02,500.0,1940.0,5,1,4,-1440.0,1,1,2,0,2,7
user1,2025-07-03,2796.0,576.0,3,1,2,2220.0,1,1,3,0,3,7
user1,2025-07-04,0.0,704.0,4,0,4,-704.0,0,1,4,0,4,7
user1,2025-07-05,10000.0,679.0,4,1,3,9321.0,1,1,5,1,5,7
user1,2025-07-06,0.0,683.0,3,0,3,-683.0,0,1,6,1,6,7
user1,2025-07-07,6400.0,1180.0,2,1,1,5220.0,1,1,0,0,7,7
user1,2025-07-08,0.0,530.0,3,0,3,-530.0,0,1,1,0,8,7
user1,2025-07-09,1800.0,159.0,3,1,2,1641.0,1,1,2,0,9,7
user1,2025-07-10,4555.0,762.0,6,3,3,3793.0,1,1,3,0,10,7
user1,2025-07-11,1629.0,1238.0,6,1,5,391.0,1,1,4,0,11,7
user1,2025-07-12,1000.0,0.0,1,1,0,1000.0,1,0,5,1,12,7
user1,2025-07-13,0.0,6871.0,4,0,4,-6871.0,0,1,6,1,13,7
user1,2025-07-14,0.0,0.0,0,0,0,0.0,0,0,0,0,14,7
user1,2025-07-15,0.0,898.0,5,0,5,-898.0,0,1,1,0,15,7
user1,2025-07-16,0.0,90.0,1,0,1,-90.0,0,1,2,0,16,7
user1,2025-07-17,1200.0,598.0,3,1,2,602.0,1,1,3,0,17,7
user1,2025-07-18,0.0,354.0,2,0,2,-354.0,0,1,4,0,18,7
user1,2025-07-19,0.0,305.0,4,0,4,-305.0,0,1,5,1,19,7
user1,2025-07-20,0.0,569.0,5,0,5,-569.0,0,1,6,1,20,7
user1,2025-07-21,2099.0,793.0,7,2,5,1306.0,1,1,0,0,21,7
user1,2025-07-22,0.0,1118.0,3,0,3,-1118.0,0,1,1,0,22,7
user1,2025-07-23,0.0,816.0,2,0,2,-816.0,0,1,2,0,23,7
user1,2025-07-24,0.0,35.0,1,0,1,-35.0,0,1,3,0,24,7
user1,2025-07-25,0.0,1534.0,7,0,7,-1534.0,0,1,4,0,25,7
user1,2025-07-26,0.0,561.0,4,0,4,-561.0,0,1,5,1,26,7
user1,2025-07-27,1800.0,247.0,2,1,1,1553.0,1,1,6,1,27,7
user1,2025-07-28,0.0,143.0,3,0,3,-143.0,0,1,0,0,28,7
user1,2025-07-29,0.0,2523.0,4,0,4,-2523.0,0,1,1,0,29,7
user1,2025-07-30,5000.0,688.0,9,3,6,4312.0,1,1,2,0,30,7
user1,2025-07-31,5075.0,411.0,5,2,3,4664.0,1,1,3,0,31,7
user1,2025-08-01,1800.0,25.0,2,1,1,1775.0,1,1,4,0,1,8
user1,2025-08-02,0.0,1223.0,3,0,3,-1223.0,0,1,5,1,2,8
user1,2025-08-03,1800.0,218.0,3,1,2,1582.0,1,1,6,1,3,8
user1,2025-08-04,0.0,2322.0,2,0,2,-2322.0,0,1,0,0,4,8
user1,2025-08-05,0.0,1909.0,7,0,7,-1909.0,0,1,1,0,5,8
user1,2025-08-06,1800.0,505.0,4,1,3,1295.0,1,1,2,0,6,8
user1,2025-08-07,0.0,300.0,1,0,1,-300.0,0,1,3,0,7,8
user1,2025-08-08,2000.0,602.0,4,1,3,1398.0,1,1,4,0,8,8
user1,2025-08-09,0.0,875.0,7,0,7,-875.0,0,1,5,1,9,8
user1,2025-08-10,10000.0,389.0,3,1,2,9611.0,1,1,6,1,10,8
user1,2025-08-11,0.0,146.0,1,0,1,-146.0,0,1,0,0,11,8
user1,2025-08-12,1900.0,70.0,2,1,1,1830.0,1,1,1,0,12,8
user1,2025-08-13,1800.0,733.0,4,1,3,1067.0,1,1,2,0,13,8
user1,2025-08-14,0.0,1101.0,1,0,1,-1101.0,0,1,3,0,14,8
user1,2025-08-15,3000.0,4788.0,7,2,5,-1788.0,1,1,4,0,15,8
user1,2025-08-16,0.0,161.0,2,0,2,-161.0,0,1,5,1,16,8
user1,2025-08-17,1800.0,411.0,4,1,3,1389.0,1,1,6,1,17,8
user1,2025-08-18,28195.0,1397.0,6,1,5,26798.0,1,1,0,0,18,8
user1,2025-08-19,0.0,140.0,3,0,3,-140.0,0,1,1,0,19,8
user1,2025-08-20,0.0,4834.0,6,0,6,-4834.0,0,1,2,0,20,8
user1,2025-08-21,1200.0,286.0,3,1,2,914.0,1,1,3,0,21,8
user1,2025-08-22,1800.0,417.0,5,1,4,1383.0,1,1,4,0,22,8
user1,2025-08-23,0.0,430.0,4,0,4,-430.0,0,1,5,1,23,8
user1,2025-08-24,1800.0,142.0,2,1,1,1658.0,1,1,6,1,24,8
user1,2025-08-25,0.0,2489.0,2,0,2,-2489.0,0,1,0,0,25,8
user1,2025-08-26,0.0,625.0,5,0,5,-625.0,0,1,1,0,26,8
user1,2025-08-27,0.0,1102.0,5,0,5,-1102.0,0,1,2,0,27,8
user1,2025-08-28,3000.0,279.0,4,2,2,2721.0,1,1,3,0,28,8
user1,2025-08-29,6800.0,1849.0,7,2,5,4951.0,1,1,4,0,29,8
user1,2025-08-30,350.0,250.0,3,1,2,100.0,1,1,5,1,30,8
user1,2025-08-31,0.0,906.0,6,0,6,-906.0,0,1,6,1,31,8
