user_id,date,daily_income,daily_expense,txn_count,income_txn_count,expense_txn_count,daily_net,has_income,has_expense,dow,is_weekend,day,month,is_summer_vacation,is_winter_vacation,expense_7d_sum,expense_7d_mean,net_7d_sum,txn_7d_sum,expense_30d_sum,expense_30d_mean,net_30d_sum,txn_30d_sum,future_expense_7d_sum,month_start,fold
user11,2022-01-03,10000.0,140.0,3,1,2,9860.0,1,1,0,0,3,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1104.0,2022-01-01,3
user11,2022-01-04,0.0,160.0,2,0,2,-160.0,0,1,1,0,4,1,0,1,140.0,140.0,9860.0,3.0,140.0,140.0,9860.0,3.0,1225.0,2022-01-01,3
user11,2022-01-05,0.0,192.0,2,0,2,-192.0,0,1,2,0,5,1,0,1,300.0,150.0,9700.0,5.0,300.0,150.0,9700.0,5.0,1198.0,2022-01-01,3
user11,2022-01-06,0.0,200.0,2,0,2,-200.0,0,1,3,0,6,1,0,1,492.0,164.0,9508.0,7.0,492.0,164.0,9508.0,7.0,1215.0,2022-01-01,3
user11,2022-01-07,0.0,383.0,4,0,4,-383.0,0,1,4,0,7,1,0,1,692.0,173.0,9308.0,9.0,692.0,173.0,9308.0,9.0,1383.0,2022-01-01,3
user11,2022-01-08,0.0,22.0,1,0,1,-22.0,0,1,5,1,8,1,0,1,1075.0,215.0,8925.0,13.0,1075.0,215.0,8925.0,13.0,1361.0,2022-01-01,3
user11,2022-01-09,0.0,80.0,1,0,1,-80.0,0,1,6,1,9,1,0,1,1097.0,182.83333333333334,8903.0,14.0,1097.0,182.83333333333334,8903.0,14.0,1306.0,2022-01-01,3
user11,2022-01-10,0.0,67.0,1,0,1,-67.0,0,1,0,0,10,1,0,1,1177.0,168.14285714285714,8823.0,15.0,1177.0,168.14285714285714,8823.0,15.0,1529.0,2022-01-01,3
user11,2022-01-11,0.0,281.0,4,0,4,-281.0,0,1,1,0,11,1,0,1,1104.0,157.71428571428572,-1104.0,13.0,1244.0,155.5,8756.0,16.0,1283.0,2022-01-01,3
user11,2022-01-12,0.0,165.0,2,0,2,-165.0,0,1,2,0,12,1,0,1,1225.0,175.0,-1225.0,15.0,1525.0,169.44444444444446,8475.0,20.0,1118.0,2022-01-01,3
