seed,MAE,RMSE,Binary_F1,Weighted_F1
0,878.296495,1162.836051,0.885751,0.759441
7,872.903612,1165.552277,0.88,0.752631
11,928.436077,1285.456623,0.872727,0.745499
13,874.334373,1184.725988,0.881443,0.751588
21,873.731901,1177.897097,0.882581,0.755726
22,885.432824,1209.645336,0.876783,0.745245
33,919.213953,1212.10227,0.884021,0.754296
42,954.886963,1229.030456,0.882724,0.74847
44,911.059806,1208.461463,0.874016,0.750098
55,877.564031,1167.56295,0.888604,0.756858
66,944.598448,1216.557073,0.893726,0.753898
77,874.168925,1162.533189,0.887179,0.751717
88,886.899317,1170.109232,0.883184,0.754975
99,906.828802,1170.820463,0.885751,0.763588
100,876.62,1154.176404,0.886335,0.752674
111,945.164217,1269.064192,0.872727,0.743498
123,865.76779,1179.898243,0.87664,0.755181
222,914.971225,1181.096809,0.888604,0.754435
314,881.523101,1167.955282,0.876783,0.749205
333,858.768194,1141.503137,0.885751,0.757996
444,893.284026,1210.242079,0.877922,0.753123
456,872.720549,1164.439046,0.88,0.748764
555,899.840982,1186.132587,0.881443,0.757555
666,877.784989,1207.320713,0.875648,0.74913
777,910.134078,1267.81652,0.869681,0.751745
789,874.396506,1156.878081,0.885751,0.752526
999,925.877166,1219.780583,0.886912,0.749314
1234,902.428688,1190.685766,0.886044,0.756745
2024,873.868442,1192.928292,0.879064,0.752716
9999,848.769332,1173.77126,0.881664,0.752131
