seed,MAE,RMSE,Binary_F1,Weighted_F1
0,1071.156655,1502.485308,0.855407,0.74186
7,1044.304492,1509.021836,0.846061,0.738828
11,1029.641052,1439.255848,0.848921,0.72749
13,1029.567668,1534.790353,0.848117,0.736549
21,1049.920719,1516.521452,0.837545,0.733082
22,1072.672873,1562.80417,0.849754,0.729629
33,1127.379213,1627.449135,0.856793,0.736118
42,1050.703514,1491.176682,0.850909,0.734802
44,1054.505538,1501.721237,0.848989,0.741135
55,1024.986871,1515.276441,0.847172,0.733553
66,1050.379715,1512.975146,0.845036,0.73202
77,1082.68384,1616.063818,0.828283,0.737822
88,1052.797623,1525.798946,0.847904,0.739918
99,1023.134956,1492.763459,0.84058,0.730684
100,1028.206364,1503.464692,0.842737,0.733531
111,1043.539001,1480.319265,0.842233,0.7319
123,1044.093936,1509.867846,0.847255,0.733259
222,1031.175447,1491.030801,0.848411,0.732273
314,1018.498247,1496.906481,0.833333,0.726341
333,1027.168998,1505.083369,0.843788,0.73704
444,1032.661325,1523.030929,0.844869,0.735324
456,1038.520938,1472.820379,0.853081,0.731912
555,1038.801358,1525.911749,0.85446,0.734432
666,1040.005782,1509.366978,0.834341,0.732425
777,1040.989126,1506.018844,0.845311,0.736608
789,1005.630726,1506.036379,0.831266,0.734653
999,1073.255137,1496.318775,0.855124,0.736568
1234,1026.419283,1519.328216,0.843114,0.736325
2024,1051.039423,1517.931495,0.84058,0.728593
9999,1050.182299,1493.688942,0.842359,0.734543
