seed,MAE,RMSE,Binary_F1,Weighted_F1
0,1088.511749,1722.71602,0.825243,0.732993
7,1045.389035,1594.637783,0.797333,0.728741
11,1143.976852,1818.789166,0.756906,0.712229
13,1082.852404,1599.309787,0.83671,0.732505
21,1033.291319,1626.341067,0.814815,0.727424
22,1042.380878,1546.610112,0.831488,0.739564
33,1120.287406,1672.651157,0.770492,0.7097
42,1114.25856,1749.264508,0.79892,0.728421
44,1093.542161,1664.379916,0.851169,0.738387
55,1133.284274,1718.024873,0.797368,0.736983
66,1064.275173,1549.713506,0.786928,0.709158
77,1080.021847,1548.28297,0.846348,0.743844
88,1271.081041,2007.950034,0.794416,0.690173
99,1018.990355,1554.327274,0.82236,0.729829
100,1148.0049,1738.10673,0.764045,0.692097
111,1032.213173,1514.062056,0.791557,0.716415
123,1081.055597,1646.322501,0.797992,0.7231
222,1067.664216,1629.056701,0.799479,0.717219
314,1117.493215,1744.670489,0.786082,0.697009
333,1009.713759,1512.745068,0.787962,0.731596
444,1216.690963,1863.149876,0.840796,0.737915
456,1117.875255,1813.512742,0.783748,0.721046
555,1079.323251,1693.515692,0.816062,0.736188
666,1225.201185,1902.723399,0.771696,0.69833
777,1089.960449,1757.895617,0.820051,0.737824
789,1194.213356,1813.150496,0.795306,0.714466
999,1116.404057,1704.947952,0.827673,0.730555
1234,1064.329998,1605.424812,0.801489,0.708879
2024,1068.44037,1688.653352,0.821244,0.743027
9999,1004.997403,1530.277637,0.794631,0.709621
