seed,MAE,RMSE,Binary_F1,Weighted_F1
0,1088.521377,1722.672765,0.825243,0.732993
7,1045.365925,1594.603431,0.797333,0.728741
11,1143.959797,1818.762142,0.756906,0.712229
13,1082.837418,1599.29762,0.83671,0.732505
21,1033.296748,1626.362824,0.814815,0.727424
22,1042.357401,1546.632181,0.831488,0.739564
33,1120.331194,1672.706875,0.770492,0.7097
42,1114.237845,1749.239322,0.79892,0.728421
44,1093.572511,1664.413848,0.851169,0.738387
55,1133.298199,1718.058619,0.797368,0.736983
66,1064.299413,1549.752522,0.786928,0.709158
77,1080.0589,1548.291773,0.846348,0.743844
88,1271.087668,2007.939155,0.793409,0.68921
99,1018.988409,1554.348439,0.82236,0.729829
100,1148.028096,1738.120411,0.764045,0.692097
111,1032.219651,1514.072365,0.791557,0.716415
123,1081.060731,1646.408115,0.797992,0.7231
222,1067.66859,1628.975756,0.799479,0.717219
314,1117.455755,1744.625071,0.786082,0.697009
333,1009.713692,1512.733308,0.787962,0.731596
444,1216.767654,1863.226436,0.840796,0.737915
456,1117.85263,1813.490964,0.783748,0.721046
555,1079.354021,1693.60125,0.816062,0.736188
666,1225.197042,1902.732925,0.771696,0.698357
777,1090.026062,1757.957978,0.820051,0.737824
789,1194.27063,1813.270819,0.795306,0.714466
999,1116.411675,1704.969157,0.827673,0.730555
1234,1064.341813,1605.424905,0.801489,0.708879
2024,1068.442259,1688.669678,0.821244,0.743027
9999,1005.012486,1530.325301,0.794631,0.709621
