seed,MAE,RMSE,Binary_F1,Weighted_F1
0,1073.512389,1681.605555,0.857143,0.752901
7,1059.197426,1677.034426,0.849176,0.762204
11,1064.565675,1677.038284,0.850955,0.757731
13,1059.568038,1680.463682,0.84557,0.75452
21,1064.81501,1679.765041,0.849873,0.7541
22,1067.177259,1648.779432,0.848485,0.751207
33,1066.687858,1671.364586,0.848485,0.752847
42,1067.377285,1688.252789,0.849558,0.762089
44,1071.171176,1671.387825,0.846641,0.749755
55,1049.642415,1677.185697,0.853875,0.7662
66,1056.009299,1663.370169,0.848485,0.754252
77,1066.260391,1691.579196,0.848101,0.755516
88,1049.063162,1666.444457,0.850633,0.759663
99,1074.853578,1685.863775,0.847716,0.750038
100,1072.611256,1676.672007,0.848408,0.75538
111,1073.748954,1677.405896,0.84949,0.760432
123,1057.043363,1676.387441,0.848485,0.752112
222,1070.759805,1669.139626,0.849558,0.755775
314,1065.276146,1683.038159,0.847328,0.760417
333,1063.273009,1671.384768,0.848485,0.754015
444,1061.947712,1659.31831,0.848793,0.753552
456,1072.51407,1669.596415,0.848101,0.752039
555,1069.647668,1679.714349,0.847029,0.753809
666,1071.523865,1677.333838,0.846641,0.753178
777,1065.071684,1676.685476,0.846641,0.758936
789,1062.942462,1682.399357,0.846252,0.757726
999,1062.666217,1679.610072,0.850633,0.757352
1234,1062.13181,1671.904664,0.848101,0.755565
2024,1059.988458,1666.281234,0.849558,0.758164
9999,1056.932957,1668.301218,0.848485,0.752149
