seed,MAE,RMSE,Binary_F1,Weighted_F1
0,1059.756041,1764.117424,0.8622,0.761114
7,1053.174512,1735.135488,0.863237,0.761545
11,1049.036098,1718.511475,0.861809,0.764487
13,1043.289111,1727.320375,0.864322,0.763374
21,1057.861181,1749.158498,0.861076,0.767749
22,1055.942381,1746.514829,0.860377,0.769881
33,1046.251838,1734.245691,0.866083,0.763421
42,1045.751527,1722.029486,0.866083,0.76674
44,1045.069295,1729.746783,0.858561,0.753576
55,1063.158743,1734.486092,0.860025,0.770943
66,1051.841027,1719.527905,0.861076,0.761089
77,1054.345858,1703.49712,0.864596,0.755741
88,1066.106142,1768.049945,0.86185,0.767042
99,1055.775556,1752.782637,0.859671,0.769422
100,1062.556391,1728.031514,0.862893,0.768517
111,1049.442569,1734.181883,0.862155,0.765591
123,1053.54192,1742.545807,0.8622,0.767383
222,1050.809036,1722.073279,0.857503,0.770953
314,1068.475781,1735.377799,0.860025,0.765044
333,1042.832605,1737.065783,0.860025,0.771066
444,1036.809087,1728.147179,0.859671,0.770879
456,1068.791089,1747.534222,0.87,0.766666
555,1042.486948,1729.808922,0.864596,0.764082
666,1055.164526,1764.007358,0.857868,0.763143
777,1062.702365,1781.985996,0.860051,0.757876
789,1050.280307,1731.931487,0.858911,0.750006
999,1066.608657,1747.117131,0.856781,0.767088
1234,1044.922513,1747.746479,0.86,0.768702
2024,1050.801707,1709.60567,0.859606,0.759429
9999,1052.342397,1731.590613,0.859671,0.768586
