seed,MAE,RMSE,Binary_F1,Weighted_F1
0,1335.323472,2018.002264,0.828645,0.735838
7,1355.24814,2035.313192,0.820839,0.728034
11,1409.77866,2147.695165,0.831633,0.73274
13,1318.545649,2021.17994,0.832041,0.73475
21,1291.578056,1930.082769,0.843434,0.744961
22,1312.79079,2016.372332,0.834403,0.733285
33,1392.12086,2136.018995,0.826255,0.724773
42,1286.247408,1962.361753,0.835249,0.735581
44,1340.415545,2053.390032,0.824147,0.721675
55,1386.058372,2105.314582,0.813158,0.722433
66,1277.488699,1945.163338,0.832905,0.736524
77,1423.845709,2121.703901,0.837803,0.735484
88,1284.429547,1958.253755,0.840358,0.729822
99,1359.309249,2035.218017,0.828309,0.726008
100,1330.177794,1977.514098,0.825521,0.717752
111,1391.279504,2081.173445,0.831202,0.74134
123,1370.915691,2113.335646,0.838217,0.738297
222,1366.015093,2068.710705,0.822768,0.72714
314,1384.951576,2164.350144,0.827763,0.735961
333,1335.634472,1958.41757,0.835279,0.73388
444,1383.816967,2054.628904,0.808399,0.713343
456,1337.644028,2112.530525,0.833977,0.743233
555,1367.18769,2027.055901,0.84788,0.745763
666,1352.925163,2033.719749,0.830769,0.734466
777,1277.025529,1968.561469,0.838384,0.738024
789,1245.610383,1940.265835,0.827858,0.709438
999,1325.28353,2062.664893,0.83442,0.735401
1234,1321.589684,2007.385344,0.831169,0.738013
2024,1319.60492,1996.260336,0.834875,0.735863
9999,1387.68276,2162.354279,0.832266,0.736711
