seed,MAE,RMSE,Binary_F1,Weighted_F1
0,1091.351754,1607.050751,0.8525,0.760639
7,1190.298788,1665.819986,0.846248,0.746116
11,1151.551527,1627.039868,0.852217,0.763259
13,1182.717421,1656.888632,0.856436,0.757852
21,1192.338437,1629.344681,0.852905,0.756245
22,1161.782937,1653.028629,0.849937,0.755287
33,1137.253932,1641.654912,0.848101,0.7595
42,1185.893084,1649.114456,0.836454,0.747748
44,1142.507626,1624.143041,0.846058,0.757473
55,1151.67478,1641.447989,0.843554,0.748331
66,1113.64128,1608.193371,0.844273,0.750294
77,1106.550681,1621.224453,0.856061,0.758581
88,1215.311492,1643.98055,0.848708,0.745536
99,1152.182969,1641.680088,0.84399,0.745449
100,1174.826388,1684.482874,0.839037,0.751983
111,1139.259296,1618.510053,0.849558,0.755143
123,1177.469616,1655.272044,0.848181,0.753776
222,1197.542163,1679.924473,0.846914,0.764047
314,1107.464698,1595.845178,0.854296,0.763629
333,1136.374019,1629.510515,0.850314,0.755836
444,1136.377339,1617.105276,0.846154,0.758755
456,1162.908599,1638.926204,0.844893,0.746726
555,1185.472871,1661.024401,0.845387,0.746177
666,1097.464765,1566.076513,0.839695,0.750554
777,1163.598297,1655.309049,0.850254,0.750658
789,1197.507164,1666.060698,0.852174,0.754283
999,1225.639106,1664.332014,0.843403,0.743221
1234,1211.13503,1666.946372,0.851852,0.753036
2024,1168.227395,1697.049692,0.84557,0.751295
9999,1196.792084,1646.317017,0.851806,0.752256
