user_id,date,daily_income,daily_expense,txn_count,income_txn_count,expense_txn_count,daily_net,has_income,has_expense,dow,is_weekend,day,month
user6,2025-01-02,0.0,29180.0,4,0,4,-29180.0,0,1,3,0,2,1
user6,2025-01-03,0.0,2698.0,2,0,2,-2698.0,0,1,4,0,3,1
user6,2025-01-04,0.0,2000.0,1,0,1,-2000.0,0,1,5,1,4,1
user6,2025-01-05,0.0,1471.0,3,0,3,-1471.0,0,1,6,1,5,1
user6,2025-01-06,0.0,0.0,0,0,0,0.0,0,0,0,0,6,1
user6,2025-01-07,0.0,0.0,0,0,0,0.0,0,0,1,0,7,1
user6,2025-01-08,0.0,57553.0,10,0,10,-57553.0,0,1,2,0,8,1
user6,2025-01-09,0.0,1280.0,1,0,1,-1280.0,0,1,3,0,9,1
user6,2025-01-10,0.0,44708.0,4,0,4,-44708.0,0,1,4,0,10,1
user6,2025-01-11,0.0,2500.0,1,0,1,-2500.0,0,1,5,1,11,1
user6,2025-01-12,0.0,0.0,0,0,0,0.0,0,0,6,1,12,1
user6,2025-01-13,0.0,0.0,0,0,0,0.0,0,0,0,0,13,1
user6,2025-01-14,0.0,5533.0,3,0,3,-5533.0,0,1,1,0,14,1
user6,2025-01-15,0.0,4020.0,1,0,1,-4020.0,0,1,2,0,15,1
user6,2025-01-16,0.0,15460.0,2,0,2,-15460.0,0,1,3,0,16,1
user6,2025-01-17,0.0,1830.0,2,0,2,-1830.0,0,1,4,0,17,1
user6,2025-01-18,0.0,0.0,0,0,0,0.0,0,0,5,1,18,1
user6,2025-01-19,0.0,0.0,0,0,0,0.0,0,0,6,1,19,1
user6,2025-01-20,0.0,0.0,0,0,0,0.0,0,0,0,0,20,1
user6,2025-01-21,0.0,0.0,0,0,0,0.0,0,0,1,0,21,1
user6,2025-01-22,0.0,4256.0,1,0,1,-4256.0,0,1,2,0,22,1
user6,2025-01-23,0.0,0.0,0,0,0,0.0,0,0,3,0,23,1
user6,2025-01-24,0.0,0.0,0,0,0,0.0,0,0,4,0,24,1
user6,2025-01-25,0.0,0.0,0,0,0,0.0,0,0,5,1,25,1
user6,2025-01-26,0.0,0.0,0,0,0,0.0,0,0,6,1,26,1
user6,2025-01-27,0.0,0.0,0,0,0,0.0,0,0,0,0,27,1
user6,2025-01-28,0.0,87400.0,1,0,1,-87400.0,0,1,1,0,28,1
user6,2025-01-29,0.0,0.0,0,0,0,0.0,0,0,2,0,29,1
user6,2025-01-30,0.0,0.0,0,0,0,0.0,0,0,3,0,30,1
user6,2025-01-31,0.0,0.0,0,0,0,0.0,0,0,4,0,31,1
user6,2025-02-01,0.0,0.0,0,0,0,0.0,0,0,5,1,1,2
user6,2025-02-02,0.0,0.0,0,0,0,0.0,0,0,6,1,2,2
user6,2025-02-03,0.0,47000.0,5,0,5,-47000.0,0,1,0,0,3,2
user6,2025-02-04,0.0,0.0,0,0,0,0.0,0,0,1,0,4,2
user6,2025-02-05,0.0,7344.0,2,0,2,-7344.0,0,1,2,0,5,2
user6,2025-02-06,0.0,1183.0,1,0,1,-1183.0,0,1,3,0,6,2
user6,2025-02-07,0.0,991.0,2,0,2,-991.0,0,1,4,0,7,2
user6,2025-02-08,0.0,0.0,0,0,0,0.0,0,0,5,1,8,2
user6,2025-02-09,0.0,0.0,0,0,0,0.0,0,0,6,1,9,2
user6,2025-02-10,0.0,0.0,0,0,0,0.0,0,0,0,0,10,2
user6,2025-02-11,0.0,0.0,0,0,0,0.0,0,0,1,0,11,2
user6,2025-02-12,0.0,108378.0,11,0,11,-108378.0,0,1,2,0,12,2
user6,2025-02-13,0.0,0.0,0,0,0,0.0,0,0,3,0,13,2
user6,2025-02-14,0.0,0.0,0,0,0,0.0,0,0,4,0,14,2
user6,2025-02-15,0.0,0.0,0,0,0,0.0,0,0,5,1,15,2
user6,2025-02-16,0.0,0.0,0,0,0,0.0,0,0,6,1,16,2
user6,2025-02-17,0.0,3038.0,1,0,1,-3038.0,0,1,0,0,17,2
user6,2025-02-18,0.0,0.0,0,0,0,0.0,0,0,1,0,18,2
user6,2025-02-19,0.0,0.0,0,0,0,0.0,0,0,2,0,19,2
user6,2025-02-20,0.0,1000.0,1,0,1,-1000.0,0,1,3,0,20,2
user6,2025-02-21,0.0,0.0,0,0,0,0.0,0,0,4,0,21,2
