user_id,date,daily_income,daily_expense,txn_count,income_txn_count,expense_txn_count,daily_net,has_income,has_expense,dow,is_weekend,day,month,is_summer_vacation,is_winter_vacation,days_to_end_of_month,expense_7d_sum,expense_7d_mean,net_7d_sum,txn_7d_sum,expense_30d_sum,expense_30d_mean,net_30d_sum,txn_30d_sum,expense_7d_30d_ratio,expense_trend,future_expense_7d_sum
user1,2023-08-29,0.0,2020.0,3,0,3,-2020.0,0,1,1,0,29,8,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,226.0
user1,2023-08-30,0.0,0.0,0,0,0,0.0,0,0,2,0,30,8,1,0,1,2020.0,2020.0,-2020.0,3.0,2020.0,2020.0,-2020.0,3.0,1.0,0.0,734.0
user1,2023-08-31,0.0,0.0,0,0,0,0.0,0,0,3,0,31,8,1,0,0,2020.0,1010.0,-2020.0,3.0,2020.0,1010.0,-2020.0,3.0,1.0,0.0,934.0
user1,2023-09-01,0.0,0.0,0,0,0,0.0,0,0,4,0,1,9,0,0,29,2020.0,673.3333333333334,-2020.0,3.0,2020.0,673.3333333333334,-2020.0,3.0,1.0,0.0,3934.0
user1,2023-09-02,0.0,0.0,0,0,0,0.0,0,0,5,1,2,9,0,0,28,2020.0,505.0,-2020.0,3.0,2020.0,505.0,-2020.0,3.0,1.0,0.0,3934.0
user1,2023-09-03,0.0,0.0,0,0,0,0.0,0,0,6,1,3,9,0,0,27,2020.0,404.0,-2020.0,3.0,2020.0,404.0,-2020.0,3.0,1.0,0.0,3934.0
user1,2023-09-04,0.0,0.0,0,0,0,0.0,0,0,0,0,4,9,0,0,26,2020.0,336.6666666666667,-2020.0,3.0,2020.0,336.6666666666667,-2020.0,3.0,1.0,0.0,4279.0
user1,2023-09-05,0.0,226.0,1,0,1,-226.0,0,1,1,0,5,9,0,0,25,2020.0,288.57142857142856,-2020.0,3.0,2020.0,288.57142857142856,-2020.0,3.0,1.0,0.0,4122.0
user1,2023-09-06,0.0,508.0,3,0,3,-508.0,0,1,2,0,6,9,0,0,24,226.0,32.285714285714285,-226.0,1.0,2246.0,280.75,-2246.0,4.0,0.11813918113829382,-248.46428571428572,3796.0
user1,2023-09-07,0.0,200.0,2,0,2,-200.0,0,1,3,0,7,9,0,0,23,734.0,104.85714285714286,-734.0,4.0,2754.0,306.0,-2754.0,7.0,0.3448115402512797,-201.14285714285714,3934.0
user1,2023-09-08,0.0,3000.0,1,0,1,-3000.0,0,1,4,0,8,9,0,0,22,934.0,133.42857142857142,-934.0,6.0,2954.0,295.4,-2954.0,9.0,0.45353769037979563,-161.97142857142856,1889.0
user1,2023-09-09,0.0,0.0,0,0,0,0.0,0,0,5,1,9,9,0,0,21,3934.0,562.0,-3934.0,7.0,5954.0,541.2727272727273,-5954.0,10.0,1.0382229673093044,20.727272727272748,1889.0
user1,2023-09-10,0.0,0.0,0,0,0,0.0,0,0,6,1,10,9,0,0,20,3934.0,562.0,-3934.0,7.0,5954.0,496.1666666666667,-5954.0,10.0,1.1324170298357359,65.83333333333331,1889.0
user1,2023-09-11,0.0,345.0,4,0,4,-345.0,0,1,0,0,11,9,0,0,19,3934.0,562.0,-3934.0,7.0,5954.0,458.0,-5954.0,10.0,1.2265795206971677,104.0,1896.0
user1,2023-09-12,0.0,69.0,1,0,1,-69.0,0,1,1,0,12,9,0,0,18,4279.0,611.2857142857143,-4279.0,11.0,6299.0,449.92857142857144,-6299.0,14.0,1.357833042927293,161.3571428571429,1849.0
user1,2023-09-13,0.0,182.0,2,0,2,-182.0,0,1,2,0,13,9,0,0,17,4122.0,588.8571428571429,-4122.0,11.0,6368.0,424.53333333333336,-6368.0,15.0,1.3861596651820685,164.32380952380953,1930.0
user1,2023-09-14,0.0,338.0,3,0,3,-338.0,0,1,3,0,14,9,0,0,16,3796.0,542.2857142857143,-3796.0,10.0,6550.0,409.375,-6550.0,17.0,1.3238762455941866,132.91071428571433,1919.0
user1,2023-09-15,0.0,955.0,2,0,2,-955.0,0,1,4,0,15,9,0,0,15,3934.0,562.0,-3934.0,11.0,6888.0,405.1764705882353,-6888.0,20.0,1.3860970311368572,156.8235294117647,1094.0
user1,2023-09-16,0.0,0.0,0,0,0,0.0,0,0,5,1,16,9,0,0,14,1889.0,269.85714285714283,-1889.0,12.0,7843.0,435.72222222222223,-7843.0,22.0,0.6202046268195612,-165.8650793650794,1094.0
user1,2023-09-17,0.0,0.0,0,0,0,0.0,0,0,6,1,17,9,0,0,13,1889.0,269.85714285714283,-1889.0,12.0,7843.0,412.7894736842105,-7843.0,22.0,0.6545771704764327,-142.9323308270677,1094.0
user1,2023-09-18,0.0,352.0,3,0,3,-352.0,0,1,0,0,18,9,0,0,12,1889.0,269.85714285714283,-1889.0,12.0,7843.0,392.15,-7843.0,22.0,0.6889409712759579,-122.29285714285714,1472.0
user1,2023-09-19,0.0,22.0,1,0,1,-22.0,0,1,1,0,19,9,0,0,11,1896.0,270.85714285714283,-1896.0,11.0,8195.0,390.23809523809524,-8195.0,25.0,0.6948636806231743,-119.38095238095241,1500.0
user1,2023-09-20,0.0,263.0,2,0,2,-263.0,0,1,2,0,20,9,0,0,10,1849.0,264.14285714285717,-1849.0,11.0,8217.0,373.5,-8217.0,26.0,0.7079916078580966,-109.35714285714283,1452.0
user1,2023-09-21,0.0,327.0,2,0,2,-327.0,0,1,3,0,21,9,0,0,9,1930.0,275.7142857142857,-1930.0,11.0,8480.0,368.69565217391306,-8480.0,28.0,0.7484921288284807,-92.98136645962734,1573.0
user1,2023-09-22,0.0,130.0,1,0,1,-130.0,0,1,4,0,22,9,0,0,8,1919.0,274.14285714285717,-1919.0,10.0,8807.0,366.9583333333333,-8807.0,30.0,0.7477554717957844,-92.81547619047615,1443.0
user1,2023-09-23,0.0,0.0,0,0,0,0.0,0,0,5,1,23,9,0,0,7,1094.0,156.28571428571428,-1094.0,9.0,8937.0,357.48,-8937.0,31.0,0.4387572926961456,-201.19428571428574,1443.0
