seed,MAE,RMSE,Binary_F1,Weighted_F1
0,768.503633,1095.898427,0.895213,0.785452
7,757.586081,1144.64435,0.894118,0.788249
11,783.676174,1125.138887,0.895484,0.795818
13,749.848113,1130.706028,0.897536,0.793234
21,773.304338,1149.216701,0.90013,0.789292
22,785.282803,1153.492203,0.891219,0.789963
33,787.090138,1163.889784,0.885638,0.785456
42,794.122079,1133.421041,0.887728,0.780654
44,760.134717,1132.212942,0.887715,0.782704
55,823.569064,1143.234573,0.895833,0.785797
66,810.920845,1133.560717,0.895833,0.782503
77,779.297412,1145.86474,0.897269,0.792348
88,778.68277,1134.785546,0.896021,0.786251
99,780.115191,1150.888545,0.886275,0.787139
100,792.174722,1165.650731,0.882979,0.779475
111,783.254912,1179.760128,0.880537,0.762349
123,808.005985,1129.559681,0.886544,0.77214
222,766.82911,1135.614344,0.893229,0.788304
314,772.63212,1137.327812,0.898964,0.788371
333,770.833853,1146.259368,0.90013,0.787477
444,793.244303,1154.250725,0.877005,0.773706
456,791.101735,1141.425582,0.89384,0.776395
555,824.014145,1149.846571,0.880319,0.770592
666,772.869091,1144.876687,0.892388,0.789809
777,784.33759,1151.595646,0.891821,0.789923
789,762.432109,1147.787669,0.884462,0.773869
999,753.329192,1119.523498,0.892068,0.785959
1234,756.278417,1120.786032,0.895753,0.787518
2024,756.295134,1128.643018,0.892903,0.784272
9999,767.638676,1144.471674,0.897801,0.786322
