seed,MAE,RMSE,Binary_F1,Weighted_F1
0,1030.787776,1493.765897,0.856777,0.753243
7,1046.000996,1475.623298,0.858958,0.761853
11,1033.512866,1488.48841,0.852375,0.749689
13,1077.812777,1503.008307,0.851334,0.753176
21,1016.636353,1471.081616,0.85254,0.753592
22,1024.764873,1480.341334,0.859335,0.754601
33,1056.911101,1492.867658,0.854942,0.750585
42,982.529078,1462.126099,0.86398,0.764397
44,1056.444663,1476.801816,0.863636,0.766477
55,1054.664111,1489.439271,0.853846,0.750596
66,967.793305,1483.775624,0.860759,0.760883
77,1043.222894,1464.192371,0.86398,0.768633
88,974.059619,1450.031718,0.863579,0.766259
99,1036.767591,1484.15658,0.860406,0.761034
100,982.100593,1465.616726,0.860728,0.759564
111,1036.448328,1493.750015,0.853846,0.749888
123,1021.755206,1490.477725,0.858958,0.755644
222,1023.791395,1488.031178,0.857875,0.750744
314,1065.011588,1483.400996,0.859296,0.759262
333,1009.073995,1473.781335,0.860406,0.756632
444,1076.934395,1494.885902,0.855314,0.756567
456,1058.19205,1485.647285,0.853846,0.752404
555,1057.297421,1498.096329,0.852753,0.75289
666,1029.41673,1480.462421,0.860051,0.753407
777,1021.0318,1448.896372,0.861423,0.764149
789,993.923819,1487.094626,0.863636,0.761066
999,1005.36365,1445.805852,0.856436,0.75576
1234,1052.836516,1469.165312,0.86398,0.765878
2024,1027.149468,1485.481378,0.860051,0.757049
9999,981.95748,1472.143292,0.861461,0.754737
