seed,MAE,RMSE,Binary_F1,Weighted_F1
0,1150.992259,1648.387593,0.84802,0.747822
7,1152.2217,1653.206658,0.847854,0.750505
11,1167.506705,1656.02779,0.839378,0.742081
13,1215.203396,1687.631277,0.851282,0.75359
21,1151.70661,1646.163414,0.853816,0.753001
22,1168.740196,1657.734495,0.851282,0.745375
33,1126.601569,1608.726253,0.847545,0.746252
42,1181.956904,1688.348582,0.845144,0.742777
44,1170.44758,1677.888942,0.847059,0.747453
55,1177.458925,1709.623531,0.843829,0.742653
66,1114.720836,1642.877755,0.856774,0.756108
77,1184.772461,1663.369598,0.847029,0.740842
88,1180.488609,1717.655233,0.846255,0.74543
99,1132.11204,1631.380228,0.846154,0.746185
100,1157.804756,1647.228795,0.854922,0.752052
111,1192.424054,1687.563268,0.849032,0.74662
123,1130.264639,1618.873546,0.849032,0.747322
222,1242.252,1751.971661,0.839196,0.744313
314,1161.159436,1672.753719,0.853816,0.74849
333,1109.616247,1612.570491,0.854942,0.750247
444,1156.527331,1644.78228,0.851613,0.746956
456,1153.531249,1636.857602,0.8509,0.74956
555,1157.301342,1678.471882,0.838046,0.735708
666,1173.283047,1671.072277,0.844893,0.743812
777,1156.108157,1685.795661,0.846658,0.74025
789,1126.711515,1620.229163,0.853093,0.750706
999,1152.166637,1627.455026,0.84949,0.750534
1234,1195.245783,1662.525129,0.845655,0.748988
2024,1146.797274,1696.85097,0.839286,0.747706
9999,1164.271801,1643.198345,0.847938,0.74727
