seed,MAE,RMSE,Binary_F1,Weighted_F1
0,1042.114945,1475.709252,0.864662,0.758287
7,1071.944232,1475.62475,0.866337,0.758248
11,1063.004326,1489.688137,0.861386,0.753126
13,1077.94853,1504.626587,0.851334,0.752379
21,1038.38602,1483.058782,0.848708,0.741025
22,1033.393283,1464.518407,0.865747,0.755904
33,1080.124783,1479.690781,0.868486,0.765622
42,1012.944376,1448.795385,0.858896,0.751767
44,1073.830422,1479.705788,0.866005,0.760185
55,1079.731708,1479.901794,0.868914,0.759764
66,1036.586902,1458.925801,0.860606,0.741528
77,1053.595419,1466.88681,0.86675,0.759989
88,1038.488625,1449.192008,0.866505,0.749427
99,1064.439356,1484.492374,0.858561,0.753803
100,1018.156155,1440.05255,0.863747,0.742826
111,1046.727496,1482.890274,0.858218,0.74298
123,1031.631127,1485.475425,0.861076,0.753561
222,1050.237248,1469.110108,0.862454,0.756731
314,1073.723598,1492.26552,0.861768,0.749688
333,1031.527113,1462.880227,0.859975,0.754289
444,1090.831698,1499.513357,0.862547,0.75502
456,1080.190609,1478.908787,0.866083,0.755331
555,1069.4689,1502.551742,0.859671,0.751069
666,1056.028263,1482.813117,0.855734,0.752334
777,1037.568917,1451.252205,0.856442,0.753089
789,1012.064188,1465.834845,0.860349,0.759811
999,1027.503922,1440.992944,0.859585,0.748089
1234,1073.328831,1477.367378,0.866337,0.757755
2024,1064.609501,1480.965071,0.858549,0.751105
9999,1026.395843,1463.355707,0.857494,0.739621
